title,url,category,filetype,slide_count,publishing_consultancy,description
"Complete Organization Design Toolkit",https://flevy.com/browse/marketplace/complete-organization-design-toolkit-4016,"Consulting Framework",PowerPoint,103,"Corporate Finance 101","This presentation is created by a team of ex-EY consultants. It provides a robust framework used by tier-1 strategy consulting firms for Organizational Design and its implementation."
"Digital Transformation Strategy",https://flevy.com/browse/marketplace/digital-transformation-strategy-2249,"Consulting Framework",PowerPoint,145,"LearnPPT Consulting","This 100+ slide presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It provides a robust framework for formulating a Digital Transformation Strategy that drives both Growth & Cost Savings."
"Strategic Planning: Process, Key Frameworks, and Tools",https://flevy.com/browse/marketplace/strategic-planning-process-key-frameworks-and-tools-5202,"Consulting Framework",PowerPoint,79,"ILMAM - Strategy & Management Consulting","MBB/Big 4 style presentation that  provides a holistic approach for undertaking strategic planning. While covering the traditional strategic planning approach, the document touches on adaptations that may be used in an unpredictable environment."
"Business Case Development Framework",https://flevy.com/browse/marketplace/business-case-development-framework-199,"Consulting Framework",PowerPoint,32,"LearnPPT Consulting","This capital budgeting business case development framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants and is commonly used across Strategy Consulting projects. Financial model also included."
"Complete Business Frameworks Reference Guide",https://flevy.com/browse/marketplace/complete-business-frameworks-reference-guide-644,"Consulting Framework",PowerPoint,407,"LearnPPT Consulting","This robust 400+ slide presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It includes over 50+ frameworks commonly used by tier 1 global consulting firms on projects with Fortune 500 clients."
"Growth Strategy",https://flevy.com/browse/marketplace/growth-strategy-208,"Consulting Framework",PowerPoint,41,"LearnPPT Consulting","This Growth Strategy framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It teaches the Strategy Consulting approach to Growth and includes a full Growth Strategy Project breakdown."
"Best Practices in Strategic Planning",https://flevy.com/browse/flevypro/best-practices-in-strategic-planning-2738,"Consulting Framework",PowerPoint,23,"PPT Lab","Explore best practices in Strategic Planning from ex-McKinsey & Big 4 consultants. Enhance execution with dynamic frameworks and stakeholder engagement."
"Organizational Design and Capability Analysis",https://flevy.com/browse/flevypro/organizational-design-and-capability-analysis-1705,"Consulting Framework",PowerPoint,31,"LearnPPT Consulting","Explore this comprehensive PPT on Organizational Design, crafted by ex-McKinsey and Big 4 consultants. Master the first 3 steps and enhance strategic capability analysis."
"Complete Guide to Business Strategy Design",https://flevy.com/browse/marketplace/complete-guide-to-business-strategy-design-375,"Consulting Framework",PowerPoint,51,STRATICX,"Created by former MBB consultants, this toolkit provides a details process and powerful frameworks to guide through strategy development process."
"Organizational Design Framework",https://flevy.com/browse/marketplace/organizational-design-framework-7756,"Consulting Framework",PowerPoint,70,"LearnPPT Consulting","This framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It provides a robust, modern approach to Organizational Design used by global consulting firms."
"Complete Guide to Strategy Consulting Frameworks",https://flevy.com/browse/marketplace/complete-guide-to-strategy-consulting-frameworks-6207,"Consulting Framework",PowerPoint,144,"LearnPPT Consulting","This presentation is created by ex-McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It is a compilation of 20 Strategy Consulting frameworks, including ones developed by McKinsey, BCG, AT Kearney, and PwC."
"Storyboarding and Presentation Writing",https://flevy.com/browse/flevypro/storyboarding-and-presentation-writing-1693,"Consulting Framework",PowerPoint,33,"LearnPPT Consulting","Master effective presentation development with this framework by ex-McKinsey & Big 4 consultants. Learn storyboarding, pyramid logic, and clear communication."
"Consulting Proposal Structure & Template",https://flevy.com/browse/flevypro/consulting-proposal-structure-and-template-1811,"Consulting Framework",PowerPoint,23,"LearnPPT Consulting","Elevate your consulting proposals with this structured PPT template by ex-McKinsey and Big 4 consultants. Ideal for strategy projects and client engagements."
"IT Strategy",https://flevy.com/browse/marketplace/it-strategy-209,"Consulting Framework",PowerPoint,30,"LearnPPT Consulting","This IT Strategy framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It breaks down a 4-phase approach to creating an IT Strategic Plan used by full service consulting firms."
"Objectives and Key Results (OKR)",https://flevy.com/browse/flevypro/objectives-and-key-results-okr-4022,"Consulting Framework",PowerPoint,23,"LearnPPT Consulting","Explore the OKR framework developed by ex-McKinsey consultants. Enhance goal alignment, accountability, and measurable outcomes with this comprehensive PPT."
"Ultimate Go-to-Market Strategy Guide",https://flevy.com/browse/marketplace/ultimate-go-to-market-strategy-guide-6204,"Consulting Framework",PowerPoint,29,"Trinity Consulting","Crafted by Expert Strategists from BCG and EY: The Ultimate Go-To-Market Strategy Framework"
"Smart Organizational Design",https://flevy.com/browse/flevypro/smart-organizational-design-4137,"Consulting Framework",PowerPoint,27,"LearnPPT Consulting","Explore the Smart Organizational Design framework by ex-McKinsey and Big 4 consultants. Transform your organization with behavior-driven strategies for sustainable change."
"Digital Transformation: Artificial Intelligence (AI) Strategy",https://flevy.com/browse/flevypro/digital-transformation-artificial-intelligence-ai-strategy-2866,"Consulting Framework",PowerPoint,27,"LearnPPT Consulting","Explore a comprehensive AI strategy framework by ex-McKinsey consultants. Learn to integrate Assisted, Augmented, and Autonomous Intelligence for business success."
"Pricing Strategy",https://flevy.com/browse/marketplace/pricing-strategy-226,"Consulting Framework",PowerPoint,38,"LearnPPT Consulting","This Pricing Strategy framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It teaches the Strategy Consulting approach to formulating a Pricing Strategy. Financial model also included."
"Five Stages of Business Growth",https://flevy.com/browse/marketplace/five-stages-of-business-growth-249,"Consulting Framework",PowerPoint,25,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. The 5 Stages of Growth framework is one of the most popular and effective Business Maturity Models used by Strategy Consultants."
