title,url,category,filetype,slide_count,publishing_consultancy,description
"Digital Transformation Strategy",https://flevy.com/browse/marketplace/digital-transformation-strategy-2249,"Digital Transformation",PowerPoint,145,"LearnPPT Consulting","This 100+ slide presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It provides a robust framework for formulating a Digital Transformation Strategy that drives both Growth & Cost Savings."
"IT Strategy",https://flevy.com/browse/marketplace/it-strategy-209,"Digital Transformation",PowerPoint,30,"LearnPPT Consulting","This IT Strategy framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It breaks down a 4-phase approach to creating an IT Strategic Plan used by full service consulting firms."
"Digital Transformation: Artificial Intelligence (AI) Strategy",https://flevy.com/browse/flevypro/digital-transformation-artificial-intelligence-ai-strategy-2866,"Digital Transformation",PowerPoint,27,"LearnPPT Consulting","Explore a comprehensive AI strategy framework by ex-McKinsey consultants. Learn to integrate Assisted, Augmented, and Autonomous Intelligence for business success."
"The Agentic AI Playbook",https://flevy.com/browse/marketplace/the-agentic-ai-playbook-9630,"Digital Transformation",PowerPoint,562,"SB Consulting ","This toolkit is created by trained McKinsey, BCG, and Porsche Consulting consultants and is the same used by MBB, Big 4, and Fortune 100 companies when performing Digital Transformation Initiatives."
"AI Readiness, Implementation and Strategic Execution - ARISE",https://flevy.com/browse/marketplace/ai-readiness-implementation-and-strategic-execution-arise-9756,"Digital Transformation",PowerPoint,71,"KR Consulting","Ex-Deloitte Consultant | Advisor to FTSE 100 Company I  20+ Years experience  I  Led major digital transformation programs  I  Helping leaders build future-ready organisations with proven frameworks"
"Six Building Blocks of Digital Transformation",https://flevy.com/browse/flevypro/six-building-blocks-of-digital-transformation-2789,"Digital Transformation",PowerPoint,35,"PPT Lab","Explore the Six Building Blocks of Digital Transformation, crafted by ex-McKinsey and Big 4 consultants. Gain insights on strategy, RPA, and analytics for effective change."
"Training Materials for ITIL 4 Foundation Training",https://flevy.com/browse/marketplace/training-materials-for-itil-4-foundation-training-5405,"Digital Transformation",PowerPoint,292,"Samir Faraj","Elevate Your  Service Level Management"
"Digital Transformation: Value Creation & Analysis",https://flevy.com/browse/flevypro/digital-transformation-value-creation-and-analysis-2766,"Digital Transformation",PowerPoint,21,"PPT Lab","Explore a comprehensive framework on Digital Transformation by ex-McKinsey & Big 4 consultants. Analyze value creation, assess opportunities, and optimize your digital strategy."
"A Comprehensive Guide to Digital Transformation",https://flevy.com/browse/marketplace/a-comprehensive-guide-to-digital-transformation-2031,"Digital Transformation",PowerPoint,206,"The Highway of Change","This presentation includes insights from a World HRD Congress Change Leader of Tomorrow awardee who has 50 years of experience in over 30 industry sectors, implementing 30 technologies in over 20 countries."
"6 Core Elements of Agentic AI",https://flevy.com/browse/flevypro/6-core-elements-of-agentic-ai-9506,"Digital Transformation",PowerPoint,36,"LearnPPT Consulting","Explore the 6 Core Elements of Agentic AI, crafted by ex-McKinsey & Big 4 consultants. Enhance decision-making, optimize workflows, and drive innovation."
