title,url,category,filetype,slide_count,publishing_consultancy,description
"1000+ Consulting Diagrams, Templates, Graphics & Icons",https://flevy.com/browse/marketplace/1000-consulting-diagrams-templates-graphics-and-icons-544,"PowerPoint Templates",PowerPoint,1150,"Operational Excellence Consulting","Developed by a Management Consultant with global experience at industry leaders like Microsoft and IBM, this comprehensive collection serves as your invaluable resource for enhancing productivity and crafting exceptional presentations."
"Corporate Strategy and Management Models",https://flevy.com/browse/marketplace/corporate-strategy-and-management-models-129,"PowerPoint Templates",PowerPoint,112,"PPT Lab","Designed by a firm of ex-consultants from McKinsey, E&Y, and Bearing Point, this presentation is compilation of PPT templates conveying 30 strategy & management models commonly used by management consultants for client projects."
"875+ High Impact Presentation Templates",https://flevy.com/browse/marketplace/875-high-impact-presentation-templates-2470,"PowerPoint Templates",PowerPoint,878,SlideKraft,"Elevate your presentations with 875+ high-impact PPT templates, crafted for clarity and engagement by industry experts. Ideal for professionals seeking to impress."
"The PPT Library - 600 Consulting Diagrams & Graphics",https://flevy.com/browse/marketplace/the-ppt-library-600-consulting-diagrams-and-graphics-483,"PowerPoint Templates",PowerPoint,630,"Enargeia Consulting","Access 600+ editable consulting diagrams and graphics for impactful presentations. Created by industry experts, enhance clarity and productivity in your visuals."
"IT Governance Frameworks",https://flevy.com/browse/marketplace/it-governance-frameworks-224,"PowerPoint Templates",PowerPoint,170,"Operational Excellence Consulting","Developed by an seasoned IT Governance Consultant with global experience at industry giants like Microsoft and IBM, this collection serves as your guide to understanding IT Governance Frameworks for effective IT management and governance."
"700+ High Quality Top Tier Consulting PPT Templates",https://flevy.com/browse/marketplace/700-high-quality-top-tier-consulting-ppt-templates-1583,"PowerPoint Templates",PowerPoint,726,"P-Square Partners","Access 700+ premium consulting PPT templates, crafted by industry experts, to elevate your presentations with data-driven visuals and strategic layouts."
"Consultasaurus PowerPoint Deck",https://flevy.com/browse/marketplace/consultasaurus-powerpoint-deck-1099,"PowerPoint Templates",PowerPoint,902,"Monster Templates","Enhance your presentations with the Consultasaurus PPT Deck—900+ editable slides for PM, analytics, and strategy. Created by industry experts for impactful storytelling."
"Business Consulting PPT Templates",https://flevy.com/browse/marketplace/business-consulting-ppt-templates-1999,"PowerPoint Templates",PowerPoint,136,SlideKraft,"Elevate your presentations with 135 expert-designed PPT templates, crafted for clarity and impact by seasoned consultants. Ideal for strategic communication."
"Business Performance Improvement Models",https://flevy.com/browse/marketplace/business-performance-improvement-models-218,"PowerPoint Templates",PowerPoint,184,"Operational Excellence Consulting","Developed by a Business Improvement Consultant with global experience at industry giants like Microsoft, IBM and Panasonic, this collection serves as your resource for achieving transformative change and organizational excellence."
"Transformation Maps",https://flevy.com/browse/marketplace/transformation-maps-170,"PowerPoint Templates",PowerPoint,18,"PPT Lab","Explore our Transformation Maps PPT, designed for strategic planning by ex-McKinsey consultants. Align initiatives and track progress over 3-5 years effectively."
