title,url,category,filetype,slide_count,publishing_consultancy
Complete Organization Design Toolkit,https://flevy.com/browse/marketplace/complete-organization-design-toolkit-4016,Consulting Frameworks,PowerPoint,103,Corporate Finance 101
Digital Transformation Strategy,https://flevy.com/browse/marketplace/digital-transformation-strategy-2249,Consulting Frameworks,PowerPoint,145,LearnPPT Consulting
"Strategic Planning: Process, Key Frameworks, and Tools",https://flevy.com/browse/marketplace/strategic-planning-process-key-frameworks-and-tools-5202,Consulting Frameworks,PowerPoint,79,ILMAM - Strategy & Management Consulting
Business Case Development Framework,https://flevy.com/browse/marketplace/business-case-development-framework-199,Consulting Frameworks,PowerPoint,32,LearnPPT Consulting
Complete Business Frameworks Reference Guide,https://flevy.com/browse/marketplace/complete-business-frameworks-reference-guide-644,Consulting Frameworks,PowerPoint,407,LearnPPT Consulting
Growth Strategy,https://flevy.com/browse/marketplace/growth-strategy-208,Consulting Frameworks,PowerPoint,41,LearnPPT Consulting
Best Practices in Strategic Planning,https://flevy.com/browse/flevypro/best-practices-in-strategic-planning-2738,Consulting Frameworks,PowerPoint,23,PPT Lab
Organizational Design and Capability Analysis,https://flevy.com/browse/flevypro/organizational-design-and-capability-analysis-1705,Consulting Frameworks,PowerPoint,31,LearnPPT Consulting
Complete Guide to Business Strategy Design,https://flevy.com/browse/marketplace/complete-guide-to-business-strategy-design-375,Consulting Frameworks,PowerPoint,51,STRATICX
Complete Guide to Strategy Consulting Frameworks,https://flevy.com/browse/marketplace/complete-guide-to-strategy-consulting-frameworks-6207,Consulting Frameworks,PowerPoint,144,LearnPPT Consulting
Organizational Design Framework,https://flevy.com/browse/marketplace/organizational-design-framework-7756,Consulting Frameworks,PowerPoint,70,LearnPPT Consulting
Storyboarding and Presentation Writing,https://flevy.com/browse/flevypro/storyboarding-and-presentation-writing-1693,Consulting Frameworks,PowerPoint,33,LearnPPT Consulting
IT Strategy,https://flevy.com/browse/marketplace/it-strategy-209,Consulting Frameworks,PowerPoint,30,LearnPPT Consulting
Consulting Proposal Structure & Template,https://flevy.com/browse/flevypro/consulting-proposal-structure-and-template-1811,Consulting Frameworks,PowerPoint,23,LearnPPT Consulting
Objectives and Key Results (OKR),https://flevy.com/browse/flevypro/objectives-and-key-results-okr-4022,Consulting Frameworks,PowerPoint,23,LearnPPT Consulting
Ultimate Go-to-Market Strategy Guide,https://flevy.com/browse/marketplace/ultimate-go-to-market-strategy-guide-6204,Consulting Frameworks,PowerPoint,29,Trinity Consulting
Smart Organizational Design,https://flevy.com/browse/flevypro/smart-organizational-design-4137,Consulting Frameworks,PowerPoint,27,LearnPPT Consulting
KPI Compilation: 600+ Sales Management & Strategy KPIs,https://flevy.com/browse/marketplace/kpi-compilation-600-sales-management-and-strategy-kpis-7821,Consulting Frameworks,PowerPoint,141,LearnPPT Consulting
SMO Series: Strategic Management Office (SMO) Implementation,https://flevy.com/browse/flevypro/smo-series-strategic-management-office-smo-implementation-3395,Consulting Frameworks,PowerPoint,24,LearnPPT Consulting
Cost Reduction Opportunities (across Value Chain),https://flevy.com/browse/marketplace/cost-reduction-opportunities-across-value-chain-204,Consulting Frameworks,PowerPoint,24,LearnPPT Consulting
Pricing Strategy,https://flevy.com/browse/marketplace/pricing-strategy-226,Consulting Frameworks,PowerPoint,38,LearnPPT Consulting
Five Stages of Business Growth,https://flevy.com/browse/marketplace/five-stages-of-business-growth-249,Consulting Frameworks,PowerPoint,25,LearnPPT Consulting
Digital Transformation: Artificial Intelligence (AI) Strategy,https://flevy.com/browse/flevypro/digital-transformation-artificial-intelligence-ai-strategy-2866,Consulting Frameworks,PowerPoint,27,LearnPPT Consulting
Key Account Management 101 - Best Practices,https://flevy.com/browse/marketplace/key-account-management-101-best-practices-2787,Consulting Frameworks,PowerPoint,47,P-Square Partners
Key Performance Indicators (KPIs): Best Practices,https://flevy.com/browse/flevypro/key-performance-indicators-kpis-best-practices-4010,Consulting Frameworks,PowerPoint,21,LearnPPT Consulting
Scenario Planning,https://flevy.com/browse/marketplace/scenario-planning-243,Consulting Frameworks,PowerPoint,23,LearnPPT Consulting
Process Automation & Digitalization Assessment,https://flevy.com/browse/marketplace/process-automation-and-digitalization-assessment-8498,Consulting Frameworks,PowerPoint,41,LearnPPT Consulting
Business Transformation Framework for New CEOs,https://flevy.com/browse/flevypro/business-transformation-framework-for-new-ceos-2754,Consulting Frameworks,PowerPoint,22,PPT Lab
Management Consulting Problem Solving Process,https://flevy.com/browse/flevypro/management-consulting-problem-solving-process-1690,Consulting Frameworks,PowerPoint,19,LearnPPT Consulting
Guide to Business Strategy Execution,https://flevy.com/browse/marketplace/guide-to-business-strategy-execution-873,Consulting Frameworks,PowerPoint,48,LearnPPT Consulting
KPI Compilation: 800+ Corporate Strategy KPIs,https://flevy.com/browse/marketplace/kpi-compilation-800-corporate-strategy-kpis-7847,Consulting Frameworks,PowerPoint,186,LearnPPT Consulting
Digital Transformation Governance,https://flevy.com/browse/flevypro/digital-transformation-governance-5079,Consulting Frameworks,PowerPoint,27,LearnPPT Consulting
Leadership Competency Model,https://flevy.com/browse/flevypro/leadership-competency-model-3661,Consulting Frameworks,PowerPoint,25,LearnPPT Consulting
Organizational Culture Assessment & Questionnaire,https://flevy.com/browse/marketplace/organizational-culture-assessment-and-questionnaire-8095,Consulting Frameworks,PowerPoint,57,LearnPPT Consulting
End-to-end (E2E) Operating Model Transformation,https://flevy.com/browse/flevypro/end-to-end-e2e-operating-model-transformation-3800,Consulting Frameworks,PowerPoint,30,LearnPPT Consulting
HR Strategy: Job Leveling,https://flevy.com/browse/flevypro/hr-strategy-job-leveling-5328,Consulting Frameworks,PowerPoint,26,LearnPPT Consulting
Cost Reduction Methodologies,https://flevy.com/browse/marketplace/cost-reduction-methodologies-93,Consulting Frameworks,PowerPoint,33,marcus
Digital Transformation: Value Creation & Analysis,https://flevy.com/browse/flevypro/digital-transformation-value-creation-and-analysis-2766,Consulting Frameworks,PowerPoint,21,PPT Lab
