title,url,category,filetype,slide_count,publishing_consultancy
Digital Transformation Strategy,https://flevy.com/browse/marketplace/digital-transformation-strategy-2249,Digital Transformation,PowerPoint,145,LearnPPT Consulting
IT Strategy,https://flevy.com/browse/marketplace/it-strategy-209,Digital Transformation,PowerPoint,30,LearnPPT Consulting
Digital Transformation: Artificial Intelligence (AI) Strategy,https://flevy.com/browse/flevypro/digital-transformation-artificial-intelligence-ai-strategy-2866,Digital Transformation,PowerPoint,27,LearnPPT Consulting
Process Automation & Digitalization Assessment,https://flevy.com/browse/marketplace/process-automation-and-digitalization-assessment-8498,Digital Transformation,PowerPoint,41,LearnPPT Consulting
Six Building Blocks of Digital Transformation,https://flevy.com/browse/flevypro/six-building-blocks-of-digital-transformation-2789,Digital Transformation,PowerPoint,35,PPT Lab
Customer Experience Strategy - Template and Guide,https://flevy.com/browse/marketplace/customer-experience-strategy-template-and-guide-2140,Digital Transformation,PowerPoint,56,CustCore Consulting
IT Governance Frameworks,https://flevy.com/browse/marketplace/it-governance-frameworks-224,Digital Transformation,PowerPoint,170,Operational Excellence Consulting
Design Thinking,https://flevy.com/browse/marketplace/design-thinking-1980,Digital Transformation,PowerPoint,225,Operational Excellence Consulting
Training Materials for ITIL 4 Foundation Training,https://flevy.com/browse/marketplace/training-materials-for-itil-4-foundation-training-5405,Digital Transformation,PowerPoint,292,Samir Faraj
Digital Transformation: Blockchain Technology,https://flevy.com/browse/marketplace/digital-transformation-blockchain-technology-2710,Digital Transformation,PowerPoint,87,LearnPPT Consulting
A Comprehensive Guide to Digital Transformation,https://flevy.com/browse/marketplace/a-comprehensive-guide-to-digital-transformation-2031,Digital Transformation,PowerPoint,206,The Highway of Change
Digital Transformation: Integrated Business Ecosystems,https://flevy.com/browse/marketplace/digital-transformation-integrated-business-ecosystems-3440,Digital Transformation,PowerPoint,81,LearnPPT Consulting
Digital Transformation Governance,https://flevy.com/browse/flevypro/digital-transformation-governance-5079,Digital Transformation,PowerPoint,27,LearnPPT Consulting
Digital Transformation: Value Creation & Analysis,https://flevy.com/browse/flevypro/digital-transformation-value-creation-and-analysis-2766,Digital Transformation,PowerPoint,21,PPT Lab
Software-as-a-Service (SaaS) Value Chain,https://flevy.com/browse/marketplace/software-as-a-service-saas-value-chain-9104,Digital Transformation,PowerPoint,31,LearnPPT Consulting
Service 4.0 Transformation,https://flevy.com/browse/marketplace/service-4-0-transformation-2818,Digital Transformation,PowerPoint,52,LearnPPT Consulting
Customer Journey Assessment & Checklist,https://flevy.com/browse/marketplace/customer-journey-assessment-and-checklist-9237,Digital Transformation,PowerPoint,42,LearnPPT Consulting
Bitcoin Farm Model - Economics,https://flevy.com/browse/marketplace/bitcoin-farm-model-economics-6767,Digital Transformation,Excel,,Jair Almeida
Customer Journey Mapping - Guide & Templates,https://flevy.com/browse/marketplace/customer-journey-mapping-guide-and-templates-3124,Digital Transformation,PowerPoint,67,CustCore Consulting
Customer Journey Mapping,https://flevy.com/browse/marketplace/customer-journey-mapping-3545,Digital Transformation,PowerPoint,143,Operational Excellence Consulting
Introduction to ChatGPT & Prompt Engineering,https://flevy.com/browse/flevypro/introduction-to-chatgpt-and-prompt-engineering-6813,Digital Transformation,PowerPoint,35,LearnPPT Consulting
KPI Compilation: 600+ Supply Chain Management KPIs,https://flevy.com/browse/marketplace/kpi-compilation-600-supply-chain-management-kpis-7858,Digital Transformation,PowerPoint,141,LearnPPT Consulting
E-Commerce Value Chain,https://flevy.com/browse/marketplace/e-commerce-value-chain-8677,Digital Transformation,PowerPoint,33,LearnPPT Consulting
Artificial Intelligence (AI) Strategy: Top Priorities,https://flevy.com/browse/flevypro/artificial-intelligence-ai-strategy-top-priorities-5883,Digital Transformation,PowerPoint,26,LearnPPT Consulting
ITIL Service Catalogue Template,https://flevy.com/browse/marketplace/itil-service-catalogue-template-276,Digital Transformation,Word,11,Dartview Consulting
