title,url,category,filetype,slide_count,publishing_consultancy
Strategic Planning: Hoshin Kanri (Hoshin Planning),https://flevy.com/browse/marketplace/strategic-planning-hoshin-kanri-hoshin-planning-155,Operational Excellence,PowerPoint,153,Operational Excellence Consulting
Storyboarding and Presentation Writing,https://flevy.com/browse/flevypro/storyboarding-and-presentation-writing-1693,Operational Excellence,PowerPoint,33,LearnPPT Consulting
Cost Reduction Opportunities (across Value Chain),https://flevy.com/browse/marketplace/cost-reduction-opportunities-across-value-chain-204,Operational Excellence,PowerPoint,24,LearnPPT Consulting
Complete Guide to Post-merger Integration (PMI),https://flevy.com/browse/marketplace/complete-guide-to-post-merger-integration-pmi-9276,Operational Excellence,PowerPoint,106,LearnPPT Consulting
Structured Thinking 101: Clarity Through Storylines,https://flevy.com/browse/marketplace/structured-thinking-101-clarity-through-storylines-196,Operational Excellence,PowerPoint,39,Clarity First 
"Organizational Velocity - Improving Speed, Efficiency & Effectiveness of Business",https://flevy.com/browse/marketplace/organizational-velocity-improving-speed-efficiency-and-effectiveness-of-business-482,Operational Excellence,PowerPoint,47,STRATICX
Balanced Scorecard,https://flevy.com/browse/marketplace/balanced-scorecard-134,Operational Excellence,PowerPoint,34,PPT Lab
Strategic Planning - Hoshin Policy Deployment,https://flevy.com/browse/marketplace/strategic-planning-hoshin-policy-deployment-597,Operational Excellence,PowerPoint,138,Operational Excellence Consulting LLC
Cost Reduction Methodologies,https://flevy.com/browse/marketplace/cost-reduction-methodologies-93,Operational Excellence,PowerPoint,33,marcus
Process Automation & Digitalization Assessment,https://flevy.com/browse/marketplace/process-automation-and-digitalization-assessment-8498,Operational Excellence,PowerPoint,41,LearnPPT Consulting
Objectives and Key Results (OKR),https://flevy.com/browse/flevypro/objectives-and-key-results-okr-4022,Operational Excellence,PowerPoint,23,LearnPPT Consulting
End-to-end (E2E) Operating Model Transformation,https://flevy.com/browse/flevypro/end-to-end-e2e-operating-model-transformation-3800,Operational Excellence,PowerPoint,30,LearnPPT Consulting
Strategic Sourcing Framework,https://flevy.com/browse/marketplace/strategic-sourcing-framework-263,Operational Excellence,PowerPoint,15,LearnPPT Consulting
Key Performance Indicators (KPIs): Best Practices,https://flevy.com/browse/flevypro/key-performance-indicators-kpis-best-practices-4010,Operational Excellence,PowerPoint,21,LearnPPT Consulting
Insurance Company Business Capability Model,https://flevy.com/browse/marketplace/insurance-company-business-capability-model-3610,Operational Excellence,PDF,1,R Bradley Consulting
KPI Compilation: 800+ Corporate Strategy KPIs,https://flevy.com/browse/marketplace/kpi-compilation-800-corporate-strategy-kpis-7847,Operational Excellence,PowerPoint,186,LearnPPT Consulting
Kaizen,https://flevy.com/browse/marketplace/kaizen-153,Operational Excellence,PowerPoint,254,Operational Excellence Consulting
Business Process Master List (BPML) Template,https://flevy.com/browse/marketplace/business-process-master-list-bpml-template-80,Operational Excellence,Excel,,giovanni
"Business Continuity Planning - Guide, Process and Tools",https://flevy.com/browse/marketplace/business-continuity-planning-guide-process-and-tools-5352,Operational Excellence,PowerPoint,61,ILMAM - Strategy & Management Consulting
Business Continuity and Disaster Recovery Checklist,https://flevy.com/browse/marketplace/business-continuity-and-disaster-recovery-checklist-8249,Operational Excellence,PowerPoint,55,LearnPPT Consulting
Project Prioritization Tool,https://flevy.com/browse/marketplace/project-prioritization-tool-260,Operational Excellence,Excel,,Demand Metric
Business Process Improvement (BPI 7),https://flevy.com/browse/marketplace/business-process-improvement-bpi-7-601,Operational Excellence,PowerPoint,139,Operational Excellence Consulting LLC
