title,url,category,filetype,slide_count,publishing_consultancy
Complete Organization Design Toolkit,https://flevy.com/browse/marketplace/complete-organization-design-toolkit-4016,"Organization, Change, & HR",PowerPoint,103,Corporate Finance 101
Five Stages of Business Growth,https://flevy.com/browse/marketplace/five-stages-of-business-growth-249,"Organization, Change, & HR",PowerPoint,25,LearnPPT Consulting
Organizational Design and Capability Analysis,https://flevy.com/browse/flevypro/organizational-design-and-capability-analysis-1705,"Organization, Change, & HR",PowerPoint,31,LearnPPT Consulting
Organizational Design Framework,https://flevy.com/browse/marketplace/organizational-design-framework-7756,"Organization, Change, & HR",PowerPoint,70,LearnPPT Consulting
Structured Thinking 101: Clarity Through Storylines,https://flevy.com/browse/marketplace/structured-thinking-101-clarity-through-storylines-196,"Organization, Change, & HR",PowerPoint,39,Clarity First 
Product Lifecycle,https://flevy.com/browse/marketplace/product-lifecycle-227,"Organization, Change, & HR",PowerPoint,34,LearnPPT Consulting
Smart Organizational Design,https://flevy.com/browse/flevypro/smart-organizational-design-4137,"Organization, Change, & HR",PowerPoint,27,LearnPPT Consulting
McKinsey 7-S Strategy Model,https://flevy.com/browse/marketplace/mckinsey-7-s-strategy-model-197,"Organization, Change, & HR",PowerPoint,26,PPT Lab
A Comprehensive Guide to Change Management,https://flevy.com/browse/marketplace/a-comprehensive-guide-to-change-management-979,"Organization, Change, & HR",PowerPoint,586,The Highway of Change
Objectives and Key Results (OKR),https://flevy.com/browse/flevypro/objectives-and-key-results-okr-4022,"Organization, Change, & HR",PowerPoint,23,LearnPPT Consulting
Soft Side of Change Management,https://flevy.com/browse/marketplace/soft-side-of-change-management-261,"Organization, Change, & HR",PowerPoint,20,LearnPPT Consulting
End-to-end (E2E) Operating Model Transformation,https://flevy.com/browse/flevypro/end-to-end-e2e-operating-model-transformation-3800,"Organization, Change, & HR",PowerPoint,30,LearnPPT Consulting
Key Performance Indicators (KPIs): Best Practices,https://flevy.com/browse/flevypro/key-performance-indicators-kpis-best-practices-4010,"Organization, Change, & HR",PowerPoint,21,LearnPPT Consulting
Organizational Culture Assessment & Questionnaire,https://flevy.com/browse/marketplace/organizational-culture-assessment-and-questionnaire-8095,"Organization, Change, & HR",PowerPoint,57,LearnPPT Consulting
Common Strategy Consulting Frameworks,https://flevy.com/browse/marketplace/common-strategy-consulting-frameworks-84,"Organization, Change, & HR",PowerPoint,19,kgoldin
Fiaccabrino Selection Process,https://flevy.com/browse/marketplace/fiaccabrino-selection-process-566,"Organization, Change, & HR",PowerPoint,44,Charles Fiaccabrino
Organizational Design for High Performance,https://flevy.com/browse/marketplace/organizational-design-for-high-performance-3896,"Organization, Change, & HR",PowerPoint,42,Eldiablo666
How to Build a Target Operating Model (TOM),https://flevy.com/browse/marketplace/how-to-build-a-target-operating-model-tom-3669,"Organization, Change, & HR",PowerPoint,35,R Bradley Consulting
Consolidation-Endgame Curve Framework,https://flevy.com/browse/marketplace/consolidation-endgame-curve-framework-201,"Organization, Change, & HR",PowerPoint,29,LearnPPT Consulting
Leadership Competency Model,https://flevy.com/browse/flevypro/leadership-competency-model-3661,"Organization, Change, & HR",PowerPoint,25,LearnPPT Consulting
Initial Meeting Sales Presentation,https://flevy.com/browse/marketplace/initial-meeting-sales-presentation-81,"Organization, Change, & HR",PowerPoint,18,kgoldin
"OGSM (Objectives, Goals, Strategies, and Measures)",https://flevy.com/browse/flevypro/ogsm-objectives-goals-strategies-and-measures-8774,"Organization, Change, & HR",PowerPoint,33,LearnPPT Consulting
Organisation Design 101 - Best Practice,https://flevy.com/browse/marketplace/organisation-design-101-best-practice-2171,"Organization, Change, & HR",PowerPoint,26,P-Square Partners
CMMI (Capability Maturity Model Integration) Checklist,https://flevy.com/browse/flevypro/cmmi-capability-maturity-model-integration-checklist-2946,"Organization, Change, & HR",Excel,,Flevy
Supply Chain Sustainability,https://flevy.com/browse/flevypro/supply-chain-sustainability-5087,"Organization, Change, & HR",PowerPoint,24,LearnPPT Consulting
Mergers and Acquisitions (M&A): Target Operating Model (TOM),https://flevy.com/browse/flevypro/mergers-and-acquisitions-manda-target-operating-model-tom-3630,"Organization, Change, & HR",PowerPoint,32,LearnPPT Consulting
Organizational Design: 10 Leadership Questions,https://flevy.com/browse/flevypro/organizational-design-10-leadership-questions-3191,"Organization, Change, & HR",PowerPoint,23,LearnPPT Consulting
The ESG Toolkit,https://flevy.com/browse/marketplace/the-esg-toolkit-8332,"Organization, Change, & HR",PowerPoint,178,SB Consulting 
McKinsey Influence Model of Leading Change,https://flevy.com/browse/marketplace/mckinsey-influence-model-of-leading-change-9402,"Organization, Change, & HR",PowerPoint,70,Operational Excellence Consulting
Organizational Change Readiness Assessment & Questionnaire,https://flevy.com/browse/marketplace/organizational-change-readiness-assessment-and-questionnaire-8120,"Organization, Change, & HR",PowerPoint,50,LearnPPT Consulting
People Capability Maturity Model (P-CMM),https://flevy.com/browse/flevypro/people-capability-maturity-model-p-cmm-2973,"Organization, Change, & HR",PowerPoint,18,LearnPPT Consulting
Change Management Strategy,https://flevy.com/browse/marketplace/change-management-strategy-5523,"Organization, Change, & HR",PowerPoint,24,Corporate Finance 101
HR Strategy: Job Leveling,https://flevy.com/browse/flevypro/hr-strategy-job-leveling-5328,"Organization, Change, & HR",PowerPoint,26,LearnPPT Consulting
Organization Culture Assessment Questionnaire,https://flevy.com/browse/marketplace/organization-culture-assessment-questionnaire-678,"Organization, Change, & HR",Word,8,Documents & Files
Greiner Growth Model: Stages of Evolution and Revolution,https://flevy.com/browse/flevypro/greiner-growth-model-stages-of-evolution-and-revolution-2660,"Organization, Change, & HR",PowerPoint,28,PPT Lab
Supercharge Strategy Execution: Performance Scorecard,https://flevy.com/browse/marketplace/supercharge-strategy-execution-performance-scorecard-1870,"Organization, Change, & HR",PowerPoint,35,Trinity Consulting
McKinsey Feedback Model,https://flevy.com/browse/flevypro/mckinsey-feedback-model-3544,"Organization, Change, & HR",PowerPoint,21,LearnPPT Consulting
Change Management Methodology,https://flevy.com/browse/marketplace/change-management-methodology-241,"Organization, Change, & HR",PowerPoint,73,Operational Excellence Consulting
Problem Solving and Decision Making,https://flevy.com/browse/marketplace/problem-solving-and-decision-making-4015,"Organization, Change, & HR",PowerPoint,32,Corporate Finance 101
