title,url,category,filetype,slide_count,publishing_consultancy
"1000+ Consulting Diagrams, Templates, Graphics & Icons",https://flevy.com/browse/marketplace/1000-consulting-diagrams-templates-graphics-and-icons-544,PowerPoint Templates,PowerPoint,1150,Operational Excellence Consulting
875+ High Impact Presentation Templates,https://flevy.com/browse/marketplace/875-high-impact-presentation-templates-2470,PowerPoint Templates,PowerPoint,878,SlideKraft
Corporate Strategy and Management Models,https://flevy.com/browse/marketplace/corporate-strategy-and-management-models-129,PowerPoint Templates,PowerPoint,112,PPT Lab
The PPT Library - 600 Consulting Diagrams & Graphics,https://flevy.com/browse/marketplace/the-ppt-library-600-consulting-diagrams-and-graphics-483,PowerPoint Templates,PowerPoint,630,Enargeia Consulting
700+ High Quality Top Tier Consulting PPT Templates,https://flevy.com/browse/marketplace/700-high-quality-top-tier-consulting-ppt-templates-1583,PowerPoint Templates,PowerPoint,726,P-Square Partners
Consultasaurus PowerPoint Deck,https://flevy.com/browse/marketplace/consultasaurus-powerpoint-deck-1099,PowerPoint Templates,PowerPoint,902,Monster Templates
IT Governance Frameworks,https://flevy.com/browse/marketplace/it-governance-frameworks-224,PowerPoint Templates,PowerPoint,170,Operational Excellence Consulting
Business Consulting PPT Templates,https://flevy.com/browse/marketplace/business-consulting-ppt-templates-1999,PowerPoint Templates,PowerPoint,136,SlideKraft
Consultant's Toolkit - Professional Presentation Templates,https://flevy.com/browse/marketplace/consultants-toolkit-professional-presentation-templates-9190,PowerPoint Templates,PowerPoint,157,Project in the Box
Business Performance Improvement Models,https://flevy.com/browse/marketplace/business-performance-improvement-models-218,PowerPoint Templates,PowerPoint,184,Operational Excellence Consulting
Digital Transformation Frameworks,https://flevy.com/browse/marketplace/digital-transformation-frameworks-5447,PowerPoint Templates,PowerPoint,91,Operational Excellence Consulting
Transformation Maps,https://flevy.com/browse/marketplace/transformation-maps-170,PowerPoint Templates,PowerPoint,18,PPT Lab
"Organization, Change & HR Models",https://flevy.com/browse/marketplace/organization-change-and-hr-models-616,PowerPoint Templates,PowerPoint,171,Operational Excellence Consulting
