title,url,category,filetype,slide_count,publishing_consultancy
Digital Transformation Strategy,https://flevy.com/browse/marketplace/digital-transformation-strategy-2249,Strategy & Transformation,PowerPoint,145,LearnPPT Consulting
Complete Business Frameworks Reference Guide,https://flevy.com/browse/marketplace/complete-business-frameworks-reference-guide-644,Strategy & Transformation,PowerPoint,407,LearnPPT Consulting
Growth Strategy,https://flevy.com/browse/marketplace/growth-strategy-208,Strategy & Transformation,PowerPoint,41,LearnPPT Consulting
"Strategic Planning: Process, Key Frameworks, and Tools",https://flevy.com/browse/marketplace/strategic-planning-process-key-frameworks-and-tools-5202,Strategy & Transformation,PowerPoint,79,ILMAM - Strategy & Management Consulting
Complete Guide to Business Strategy Design,https://flevy.com/browse/marketplace/complete-guide-to-business-strategy-design-375,Strategy & Transformation,PowerPoint,51,STRATICX
Five Stages of Business Growth,https://flevy.com/browse/marketplace/five-stages-of-business-growth-249,Strategy & Transformation,PowerPoint,25,LearnPPT Consulting
Organizational Design and Capability Analysis,https://flevy.com/browse/flevypro/organizational-design-and-capability-analysis-1705,Strategy & Transformation,PowerPoint,31,LearnPPT Consulting
Pricing Strategy,https://flevy.com/browse/marketplace/pricing-strategy-226,Strategy & Transformation,PowerPoint,38,LearnPPT Consulting
Strategic Planning: Hoshin Kanri (Hoshin Planning),https://flevy.com/browse/marketplace/strategic-planning-hoshin-kanri-hoshin-planning-155,Strategy & Transformation,PowerPoint,153,Operational Excellence Consulting
Best Practices in Strategic Planning,https://flevy.com/browse/flevypro/best-practices-in-strategic-planning-2738,Strategy & Transformation,PowerPoint,23,PPT Lab
M&A Sell-Side Process Letter - Phase I and Phase II,https://flevy.com/browse/marketplace/manda-sell-side-process-letter-phase-i-and-phase-ii-3758,Strategy & Transformation,Word,5,Corporate Finance 101
Key Account Management 101 - Best Practices,https://flevy.com/browse/marketplace/key-account-management-101-best-practices-2787,Strategy & Transformation,PowerPoint,47,P-Square Partners
Scenario Planning,https://flevy.com/browse/marketplace/scenario-planning-243,Strategy & Transformation,PowerPoint,23,LearnPPT Consulting
Ultimate Go-to-Market Strategy Guide,https://flevy.com/browse/marketplace/ultimate-go-to-market-strategy-guide-6204,Strategy & Transformation,PowerPoint,29,Trinity Consulting
Complete Guide to Strategy Consulting Frameworks,https://flevy.com/browse/marketplace/complete-guide-to-strategy-consulting-frameworks-6207,Strategy & Transformation,PowerPoint,144,LearnPPT Consulting
Guide to Business Strategy Execution,https://flevy.com/browse/marketplace/guide-to-business-strategy-execution-873,Strategy & Transformation,PowerPoint,48,LearnPPT Consulting
Cost Reduction Opportunities (across Value Chain),https://flevy.com/browse/marketplace/cost-reduction-opportunities-across-value-chain-204,Strategy & Transformation,PowerPoint,24,LearnPPT Consulting
Product Lifecycle,https://flevy.com/browse/marketplace/product-lifecycle-227,Strategy & Transformation,PowerPoint,34,LearnPPT Consulting
Balanced Scorecard,https://flevy.com/browse/marketplace/balanced-scorecard-134,Strategy & Transformation,PowerPoint,34,PPT Lab
Marketing Plan Development Framework,https://flevy.com/browse/marketplace/marketing-plan-development-framework-174,Strategy & Transformation,PowerPoint,63,PPT Lab
Structured Problem Solving & Hypothesis Generation,https://flevy.com/browse/marketplace/structured-problem-solving-and-hypothesis-generation-95,Strategy & Transformation,PowerPoint,34,Process Consulting
Strategic Planning - Hoshin Policy Deployment,https://flevy.com/browse/marketplace/strategic-planning-hoshin-policy-deployment-597,Strategy & Transformation,PowerPoint,138,Operational Excellence Consulting LLC
Strategy Chessboard,https://flevy.com/browse/marketplace/strategy-chessboard-3125,Strategy & Transformation,PowerPoint,62,LearnPPT Consulting
Strategy Development Methodology,https://flevy.com/browse/marketplace/strategy-development-methodology-264,Strategy & Transformation,PowerPoint,35,LearnPPT Consulting
Smart Organizational Design,https://flevy.com/browse/flevypro/smart-organizational-design-4137,Strategy & Transformation,PowerPoint,27,LearnPPT Consulting
Value-based Pricing Strategy,https://flevy.com/browse/marketplace/value-based-pricing-strategy-1096,Strategy & Transformation,PowerPoint,47,PPT Lab
SMO Series: Strategic Management Office (SMO) Implementation,https://flevy.com/browse/flevypro/smo-series-strategic-management-office-smo-implementation-3395,Strategy & Transformation,PowerPoint,24,LearnPPT Consulting
Business Transformation Framework for New CEOs,https://flevy.com/browse/flevypro/business-transformation-framework-for-new-ceos-2754,Strategy & Transformation,PowerPoint,22,PPT Lab
Growth Opportunity Assessment,https://flevy.com/browse/marketplace/growth-opportunity-assessment-759,Strategy & Transformation,PowerPoint,76,Documents & Files
